AMVEND	AMNAME	AMADR1	AMADR2	AMADR3	AMTELE	AMFRGT	actual_term
81252	DODD ELECTRIC INC	PO BOX 40666		NASHVILLE TN 37204	6152699994	0	NET 30Days
81253	BUSINESS SERVICE DIVISION	WORKFORCE ESSENTIALS INC	523 MADISON ST STE A	CLARKSVILLE TN 37040	6158433300	0	NET
81254	AIRGAS MID AMERICA	P O BOX 802615	CHICAGO IL	60680-2615	0	0	NET
81255	BLACKHAWK INCORPORATED	2520 PILOT KNOB RD	STE 300	MENDOTA HEIGHTS MN 55120	8008009523	0	NET 20Days
81256	ECONOMY LIFT POWER INC	719 3RD AVE SOUTH	NASHVILLE TN 37210-2013		6157261595	0	NET 10Days
81257	FORT DEARBORN LIFE INSURANCE	36788 EAGLE WAY	CHICAGO IL 60678-1367		0	0	NET 1ST Prox
81258	FUTURE PLAN	23693 NETWORK PLACE		CHICAGO ,IL 60673-1236   	7146223188	0	NET  
81259	NASHVILLE PROPANE EXCHANGE	P O BOX 276		LA VERGNE TN 37086	6152835922	0	NET 30Days
81260	ROBERT GURSKY	25 LINDER LANE		BRUSH CREEK TN 38547	0	0	NET
81261	GROTHOUSE SOLID WOOD SURFACE	6104 BUCKERY RD		GERMANSVILLE PA 18053	0	0	NET
81311	OVERHEAD DOOR COMPANY OF NASH	1901 EAST 119TH ST	ATTN ACCOUNTS RECEIVABLE	OLATHE KS 66061	6158683667	0	NET 30Days
81312	VISY RECYCLING	PRATT INDUSTRIES, USA    	P O BOX 406819	ATLANTA GA 30384-6819	7706021190	0	NET  
81314	MUSIC CITY WOODWORKS	5314 BUENA VISTA PIKE	NASHVILLE TN 37218		6156183007	0	NET  
81315	AMCOMP ASSURANCE CORPORATION	P O BOX 863525	ORLANDO FL 32886-3525		0	0	NET 1ST Prox
81317	TONY RIPLEY	1424 MCALPINE AVE	NASHVILLE TN 37216		0	0	NET  
81319	PROGRAPHICS BLUEPRINT CO	1811 CHURCH ST	NASHVILLE TN 37203		6153270386	0	NET 30Days
81321	RMSA	P O BOX 404105		ATLANTA GA 30384-4105	8009271910	0	NET 20Days
81322	CARDMEMBER SERVICES	FOR BANK ONE	P O BOX 94014	PALATINE IL 60094-4014	0	0	NET 30Days
81323	CARDMEMBER SERVICES	P O BOX 94014	PALATINE IL 60094-4014		0	0	NET  
81324	REGIONS COMMERCIAL LOANS	DEPT 2521	P O BOX 2153	BIRMINGHAM AL 35287-2521	0	0	NET  
81325	TOSHIBA AMERICA INFORMATION	P O BOX 740423	ATLANTA GA 30374-0423		8886522269	0	NET  
81328	OZBURN HESSEY LOGISTICS	P O BOX 692192	CINCINNATI OH 45269-2192		0	0	NET
81329	STANLEY A KWELLER	1 WASHINGTON SQ STE 103	214 SECOND AVE NORTH	NASHVILLE TN 37201	6152562602	0	NET  
81330	STAPLES CREDIT PLAN	P O BOX 689020	DES MOINES IA 50368-9020		8007671291	0	NET  
81331	TW TELECOM	P O BOX 172567		DENVER CO 80217-2567	0	0	NET
81333	HILLWOOD COUNTRY CLUB	6201 HICKORY VALLEY ROAD	NASHVILLE TN 37205		6153526591	0	NET
81334	WERTHAN GRANITE LLC	448 CHESTNUT ST	NASHVILLE TN 37203		6152424919	0	NET  
81335	DENTONS DIRECTORIES NO AMERICA	4922 PORT ROYAL RD	STE B-9	SPRING HILL TN 37174	9314863653	0	NET  
81336	JEWISH FEDERATION OF NASHVILLE	801 PERCY WARNER BLVD	STE 102	NASHVILLE TN 37205	6153563242	0	NET  
81337	SOUTHERN LIVING	P O BOX 11407	BIRMINGHAM AL 35246-1015		0	0	NET
81338	FLOWER EXPRESS	P O BOX 2438	HENDERSONVILLE TN	37077-2438	6158511707	0	NET  
81339	CARDMEMBER SERVICES	P O BOX 94014	PALATINE IL 60094-4014	(CORP CARD)	0	0	NET  
81341	ANDERSON TRUCK LINE INC	P O BOX 1196		LENOIR NC  28645	8287289236	0	NET 15Days
81342	GABRIEL COMAN	890 B DENNING FORD RD		PORTLAND TN 37148-5115	0	0	NET
81345	HIRERIGHT	P O BOX 847891		DALLAS TX 75284-7891	8665216995	0	NET 
81346	NAED	P O BOX 843703		KANSAS CITY MO 64184-3703	8887912512	0	NET 30Days
81347	BCBST COBRA	FOR DORIS FLEISCHER	P O BOX 180173	CHATTANOOGA TN 37401-7173	0	0	NET 1ST Prox
81348	ARC	P O BOX 935491		ATLANTA GA 31193-5491	6152566356	0	NET 30Days
81349	HANOVER INSURANCE CO	P O BOX 580045		CHARLOTTE NC 28258-0045	8009228427	0	NET  
81350	STAMAR PACKAGING MEMPHIS LLC	PO BOX 8243	CAROL STREAM, IL         	60197-8243	6302825400	0	NET 30Days
81352	SHOWPLACE WOOD PRODUCTS	1 ENTERPRISE ST	HARRISBURG SD 57032		6057432200	0	NET  
81354	AMERITAS LIFE INSURANCE	P O BOX 650730		DALLAS, TX 75265-0730    	8006592223	0	NET
81355	TITAN ELECTRIC, LLC           	4239 HERMITAGE RD	OLD HICKORY TN 37138		0	0	NET
81356	MIDSOUTH ELECTRICAL	&MECHANICAL CONTRACTORS	863 GRANADA AVE	NASHVILLE TN 37206	6152622999	0	NET
81357	DAN KANE	1923 DUNEDIN DRIVE		OLD HICKORY TN 37138	6155934001	0	NET 30Days
81358	COWAN AND SONS WOODWORKING	14343 HWY 52 E	RED BOILING SPRINGS TN	37150	6156994180	0	2% 10Days NET 30Days
81411	THE CITY PAPER	210 12TH AVE S STE 100		NASHVILLE TN 37203	6158449408	0	NET  
81412	UNUM LIFE INSURANCE COMPANY	P O BOX 409548		ATLANTA GA 30384-9548	0	0	NET  
81413	DURACRAFT	1045 WEST BROAD ST		SMITHVILLE TN 37166	6155972278	0	2% 10Days NET 30Days
81415	KONICA MINOLTA PRIMIER FINANCE	P O BOX 105743		ATLANTA GA 30348-5743	8006954195	0	NET  
81417	EMI BUSINESS COMMUNICATIONS	211 DONELSON PIKE	STE 14	NASHVILLE TN 37214	6158831160	0	NET 10Days
81418	SUPERIOR INDUSTRIAL PRODUCTS	404 MELROSE AVE		NASHVILLE TN 37211	6152560116	0	NET 30Days
81420	WILSONART INTERNATIONAL	1641 LEBANNON PIKE CIRCLE		NASHVILLE TN 37210	6152922188	0	NET 30Days
81421	DANIEL LECIAN	211 ASHMONT LANE	SMYRNA TN 37167		0	0	NET  
81422	BRANDON STEWART	5202 DOVE TRAIL		HERMITAGE TN 37076	6155121657	0	NET
81424	AT&T	PO BOX 5019		CAROL STREAM IL 60197	0	0	NET
81426	CLASS GLASS, LLC              	208 FESSLERS LANE		NASHVILLE TN 37210	0	0	NET  
81427	PENN NATIONAL INSURANCE	P O BOX 13746		PHILADELPHIA PA 191013746	0	0	NET  
81429	RENATE INMAN	728 RICHARDS ROAD		ANTIOCH, TN  37013       	6158313978	0	NET  
81430	TERRI SEARS	1666 WEST WILSON BLVD		MT.JULIET TN 37122	0	0	NET  
81432	DATA SUPPLIES INC	P O BOX 102413		ATLANTA GA 30368-0413	0	0	NET
