IMDESC,ITMDSC,PRICCD,IMLIST,IMTCST,GROUP,IMSTYL,IMSER,IMRANK,IMGEN,IMXRBC,IMVND,ITEM,IMMCST
1M-60W 11X18 PN PENDANT        ,                                        ,0,477.24,199.98,16,HD, ,3,56631809,14817595093,20566,CP1021PN                                ,238.62
2M-60W 18X7 BRS FLUSH MOUNT    ,                                        ,0,454.52,184.5,13,FC, ,7,56632138,14817605105,20566,CF1032BBS                               ,227.26
1C-60W 11X21 AGED IRON PENDANT ,                                        ,0,363.6,154,16,HD, ,4,56632279,14817595444,20566,CP1081AI                                ,181.8
1M(T10)60W 18X18 PN PENDANT    ,                                        ,0,518.16,210.98,16,HD, ,7,56632477,14817595079,20566,CP1031PN                                ,259.08
15C-60W 49X28 AGD IRN CHNDLR   ,                                        ,0,2045.4,920.43,16,HH, ,7,56633186,14817610925,20566,EC10015AI                               ,1022.7
JOHNSON OVAL MIRROR ORB 24X36  ,                                        ,0,314.98,128.24,27,IJ, ,7,56633350,14817484045,20566,MR1126ORB                               ,149.99
1C-60W 6X10 BBRS/BLK SCONCE    ,                                        ,0,249.98,112.49,24,JJ, ,7,56633441,14817610444,20566,TW1061BBS                               ,124.99
2M-75W 15X10 PN/TXBLK VANITY   ,                                        ,0,185.68,74.98,2,AP, ,7,56633467,14817587593,20566,VS24402PN/TXB                           ,92.84
KIT OVAL MIRROR 24X26 BRASS    ,                                        ,0,449.97,192.84,27,IJ, ,7,56633475,14817606812,20566,MR1300BBS                               ,214.27
8C 60W 24X41 SMITH STEEL PENDAN,T                                       ,0,904.74,407.13,16,HD, ,7,56634051,                    ,20566,F3324-8SMS                              ,407.13
6C 60W 32X32 AGED IRON CHAND   ,                                        ,0,863.6,388.62,16,HH, ,7,56634126,14817604900,20566,CC1346AI                                ,431.8
1M 75W 13X18 BN PEND           ,                                        ,0,218.96,109.48,16,HD, ,8,56634150,                    ,20566,6577101-112                             ,117.49
1M 60W 18X10 AGED IRON FLUSH   ,                                        ,0,774.98,325.98,13,FC, ,7,56634291,14817594324,20566,KF1061AI                                ,352.26
1M 60W 6X11 BL EXT WALL        ,                                        ,0,114.24,43,11,DW, ,7,56634308,14817580563,20566,OL14401SBL                              ,57.12
9C 60W 30X26 AGED IRON CHAND   ,                                        ,0,909.06,399.98,16,HH, ,7,56634465,14817610918,20566,EC1009AI                                ,454.53
1M 60W 20X20 BRS PENDANT       ,                                        ,0,984.98,318.98,16,HH, ,7,56634514,                    ,20566,CP1141BBS                               ,343.17
1M 60W 9X16 HTCP WALL LATERN   ,                                        ,0,477.24,235.98,10,DV, ,7,56634829,                    ,20566,CO1121HTCP                              ,238.62
1M 60W 9X20 BS PENDANT         ,                                        ,0,369.98,173.98,16,16, ,7,56634861,14817524666,20566,P1309BS                                 ,176.18
6C 60W 27X32 WHT LANTERN       ,                                        ,0,1272.7,572.72,16,HH, ,7,56634994,                    ,20566,AC1106MWTBBS                            ,636.35
2M 60W 12X8 CHROME VANITY      ,                                        ,0,185.68,83.56,2,AP, ,7,56635009,                    ,20566,VS24302CH                               ,92.84
1M 60W 9X9 ORB FLUSH MOUNT     ,                                        ,0,171.4,85.7,13,FK, ,7,56635140,                    ,20566,FM404ORB                                ,85.7
6C 60W 44X34 PN CHANDELIER     ,                                        ,0,1031.78,515.89,16,HH, ,7,56635158,                    ,20566,CC1356PN                                ,515.89
3C 60W 9X22 ASTB EXT WALL      ,                                        ,0,371.4,185.7,10,DY, ,8,56635257,                    ,20566,OL7402ASTB                              ,185.7
3C 60W 11X20 COPPER WALL       ,                                        ,0,509.06,229.08,10,DV, ,7,56635265,14817615340,20566,CO1383NCP                               ,229.08
1M 60W 8X23 BB SM PENDANT DAMP ,                                        ,0,313.6,156.8,16,HD, ,7,56635570,                    ,20566,CP1371BBS                               ,156.8
STEM KIT 5/8 DIA 4-12 1-6  PN  ,                                        ,0,63,31.5,68,IK, ,8,56635588,                    ,20566,STEMKITB-58-PN                          ,31.5
6C 60W 24X33 ANTIQUE GILD PENDA,NT                                      ,0,809.06,404.53,16,HH, ,7,56635728,                    ,20566,AP1186ADB                               ,404.53
SQUARE CHAIN 3FT 3X3MM         ,                                        ,0,30.44,15.22,68,IK, ,8,56635778,                    ,20566,CHAINA-SQ-AF                            ,15.22
12C 60W 35X35 BBS LINEAR CHAND ,                                        ,0,399,179.55,16,HB, ,7,56635843,14817630435,20566,CC16612BBS                              ,199.5
1G9T4 60W 18X8 BBS FLUSH       ,                                        ,0,359.06,161.58,13,FK, ,7,56635900,                    ,20566,KF1021BBS                               ,179.53
MIRROR 24X36 BLK               ,                                        ,0,394.26,197.13,27,IJ, ,7,56635934,                    ,20566,MR1303MBK                               ,197.13
4C 60W 13X25 TXB WALL MOUNT    ,                                        ,0,390.44,175.7,10,DW, ,7,56635976,                    ,20566,OL14404TXB                              ,195.22
2M 60W 13X10 SN/CH SEMI FLUSH  ,                                        ,0,158.56,79.28,13,F1, ,7,56636015,                    ,20566,SF335SN/CH                              ,79.28
300W ELECTRONIC TRANSFORMER    ,                                        ,0,475.2,114,22,IT, ,8,57607297,                    ,20576,700-AT300EL                             ,114
MO POWER 48IN EXTENDER SATIN   ,                                        ,0,64,26.17,22,IT, ,7,57607320,                    ,20576,700MOP48S                               ,23.2
REMOTE TRANSFRMR 12V 150W      ,                                        ,0,480,118.72,22,IT, ,7,57610000,                    ,20576,700AT150T                               ,240
"CLEAR MONORAIL 96IN, ANTQ BRNZ ",                                        ,0,296.7,76,22,IT, ,7,57611496,756460945633,20576,700MOA96Z                               ,76
MO 48IN BRONZE                 ,                                        ,0,136.8,38,22,IT, ,7,57612684,                    ,20576,700MOA48Z                               ,38
REPL. 800RALHPWHN WHITE        ,GLASS ONLY                              ,0,0,17.74,0,Z7,N,7,57623508,                    ,20576,800SHDFWS                               ,16.4
CHROME 150W MONORAIL KIT       ,                                        ,0,1015.2,282,22,IT, ,7,57624746,                    ,20576,700MOKTS150C                            ,282
MONORAIL ADJUSTABLE STANDOFF   ,SATIN NICKEL                            ,0,140,61.9,0,Z7,N,2,57632509,                    ,20576,700MOSADJ S                             ,55
SURFACT MNT TRANSFORMER SINGLE ,"FEED, 120V TO 12V, SATIN NICKEL         ",0,959,360,0,Z7,N,2,57632517,                    ,20576,700MOSRT30D S                           ,360
"MONORAIL POWER EXTENDER 48""    ",SATIN NICKEL                            ,0,112,45,30,D6,N,2,57632525,                    ,20576,700MOP 48 S                             ,45
20W ACRYLIC LENS LED 30K 277V  ,BATH FIXTURE SATIN NICKEL               ,0,630,196,30,D6,N,2,57632905,                    ,20576,700BCALDYS-LED830-277                   ,196
"MONORAIL TRACK, STRAIGHT 48""   ",SATIN NICKEL                            ,0,192.5,67.51,22,IW,N,2,57633036,                    ,20576,700MOA 48 S                             ,60
LED COMP. FOR 700MPLPCS        ,                                        ,0,56,18,68,IK, ,7,57633599,                    ,20576,351LEDBIPNS930                          ,28
"24"" LED CHROME 927 FLUSH MOUNT ",                                        ,0,972.5,486.25,13,FC, ,7,57634787,                    ,20576,700FMLNC24C-LED927                      ,486.25
LED 6X5 WHITE WALL SCONCE      ,                                        ,0,382.5,191.25,24,JJ, ,7,57634802,                    ,20576,700WSKENW-LED930-277                    ,191.25
